Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
Quando se concentra profundamente em suas emoções, com a intenção de levantar o seu ânimo, você pode elevá-las de forma poderosa. Uma maneira de fazer isso é fechar os olhos (para se isolar de qualquer distração), se concentrar nos seus sentimentos e sorrir durante um minuto.	Poder da atenção, dedicar seu cérebro exclusivamente aos sentimentos por um momento faz você se auto conhecer melhor.   Tome controle da sua consciência	O Segredo	Byrne, Rhonda
Geralmente ficamos frustrados quando não vemos as coisas que pedimos. Ficamos desapontados. E começamos a ter dúvidas. A dúvida gera um sentimento de decepção. Pegue essa dúvida e transforme-a em outra coisa. Reconheça esse sentimento e substitua-o por um sentimento de fé inabalável. “Eu sei que o que quero está a caminho.”	Fé	O Segredo	Byrne, Rhonda
Uma maneira rápida de entrar nessa frequência é dizer: “Estou recebendo o que quero agora. Estou recebendo tudo o que há de bom na minha vida, agora. Estou recebendo [insira aqui o seu desejo] agora.” E sinta isso. Sinta como se estivesse mesmo recebendo.		O Segredo	Byrne, Rhonda
A lei da atração, bem como seu estudo e sua prática, é apenas uma questão de descobrir o que irá ajudá-lo a criar o sentimento de ter o que você deseja agora. Vá fazer um test drive no carro que quer. Vá fazer compras para a casa que deseja ter. Entre na casa. Faça o que for preciso para criar o sentimento de ter o que deseja agora, e mantenha-o em mente. Faça tudo que o ajude a literalmente atrair o que quer para	Vá aos poucos organizando a empresa que quer ter. Visualize a sede, as salas, os setores, os carros.	O Segredo	Byrne, Rhonda
O Universo gosta de rapidez. Não procrastine. Não titubeie. Não tenha dúvidas. Quando a oportunidade chegar, quando o impulso chegar, quando aquele empurrãozinho intuitivo que vem de dentro chegar, aja. Este é o seu trabalho. E é tudo o que você precisa fazer.	Esteja preparado para quando chegar o dia, você já saber o que fazer. Não tenha dúvidas.	O Segredo	Byrne, Rhonda
“Dê o primeiro passo de fé. Você não precisa ver todos os degraus da escada. Apenas dê o primeiro passo.”	Planeje grande, mas na hora de executar, se preocupe apenas com o passo seguinte.	O Segredo	Byrne, Rhonda
Em tudo o que li e em todas as experiências que tive em minha própria vida utilizando O Segredo, o poder da gratidão está acima de todo o resto. Se você decidir fazer apenas uma coisa com o conhecimento do Segredo, utilize a gratidão até ela se tornar o seu estilo de vida.	Gratidão diária.	O Segredo	Byrne, Rhonda
É impossível trazer mais para a sua vida se você for ingrato pelo que tem. Por quê? Porque os sentimentos que emite ao se sentir ingrato são emoções negativas. Quer seja inveja, rancor, insatisfação ou a sensação de “não tenho o suficiente”, esses sentimentos não podem lhe trazer o que você deseja. Eles só podem lhe devolver mais daquilo que você não quer. Essas emoções negativas estão bloqueando as coisas boas que poderiam vir para você. Se você quer um carro novo, mas não é grato pelo carro que tem, esta será a frequência dominante que irá emitir.	Primeiro seja grato pelo que tem, depois peça algo a mais	O Segredo	Byrne, Rhonda
Quando você visualiza algo, você o materializa. Eis uma coisa interessante a respeito da mente: nós pegamos atletas olímpicos e pedimos que eles fizessem suas respectivas provas apenas em suas mentes, e então os conectamos aos mais modernos equipamentos de feedback biológico. Para nossa surpresa, os mesmos músculos que eram acionados quando eles faziam a prova na pista eram acionados, e na mesma sequência, quando eles faziam a prova mentalmente.	Ensaiar você executando um ação com perfeição treina seus músculos e cérebros para atuarem daquele jeito.	O Segredo	Byrne, Rhonda
Pense nos inventores e em suas invenções: Santos Dummont e o avião. George Eastman e o filme. Thomas Edison e a lâmpada elétrica. Alexander Graham Bell e o telefone. Qualquer coisa que já tenha sido criada ou inventada só pôde existir porque uma pessoa a visualizou em sua mente. Ela a visualizou com clareza e, ao manter a imagem do resultado final na mente, todas as forças do Universo trouxeram a invenção ao mundo através dela.	Uma pessoa não mais inteligente que você criou isso. Ela visualizou com clareza, teve fé, coragem e executou. O Universo te dá o material necessário, basta visualizar e aceitar.	O Segredo	Byrne, Rhonda
Eis um exemplo. Olhe para as costas da sua mão, agora mesmo. Olhe com atenção para elas: a cor da sua pele, as pintas, os vasos sanguíneos, os anéis, as unhas. Assimile todos esses detalhes. Logo antes de fechar os olhos, veja os dedos da sua mão agarrando o volante do seu carro novo. Esta é uma experiência tão holográfica – tão real neste momento –, que você nem sente que precisa do carro, pois já tem a sensação de possuí-lo.	Visualização	O Segredo	Byrne, Rhonda
Se você já teve pensamentos do tipo “tenho que trabalhar muito duro e batalhar para ter dinheiro”, livre-se deles imediatamente. Ao ter esses pensamentos, você emitiu essa frequência e eles se tornaram as imagens da sua experiência de vida. Aceite o conselho de Loral Langemeier e substitua esses pensamentos por “o dinheiro vem fácil e com frequência”.	Princípio da escassez (tenho pouco, falta muito)	O Segredo	Byrne, Rhonda
Para atrair dinheiro, concentre-se na abundância. É impossível atrair mais dinheiro para a sua vida quando você se concentra na escassez dele.	Nunca pense de modo negativo “não tenho dinheiro suficiente”, pense em abudância, “posso conseguir mais dinheiro”. O universo é abundante em todos os recursos.   Dinheiro é fluxo de energia, lembre-se disso.	O Segredo	Byrne, Rhonda
história da minha irmã Glenda, que é a produtora executiva do filme The Secret – O Segredo. Na época, ela vivia e trabalhava na Austrália, mas queria se mudar para os Estados Unidos e trabalhar em nosso escritório de lá. Glenda conhecia O Segredo muito bem, de modo que estava fazendo todas as coisas certas para atrair o que queria, mas os meses passavam e ela continuava na Austrália. Glenda analisou suas atitudes e percebeu que não estava “agindo como se” estivesse recebendo o que queria. E começou a tomar atitudes poderosas. Organizou sua vida como se estivesse de partida. Cancelou inscrições, deu coisas de que não precisaria mais, pegou as malas de viagem e pôs-se a arrumá-las. Em quatro semanas, ela estava nos Estados Unidos, trabalhando em nosso escritório de lá.	Não basta pensar, tem que agir de acordo com o que você pediu ao Universo.	O Segredo	Byrne, Rhonda
Há milhares de diagnósticos e doenças por toda parte. Mas esses são apenas os elos fracos da corrente. É tudo resultado de uma coisa: tensão. Se você colocar tensão demais na corrente e no sistema, então um dos elos irá se partir.	1. Respire 2. Escreva 3. Medite 4. Fé   Não force, visualize e permita ser direcionado	O Segredo	Byrne, Rhonda
Norman tinha sido diagnosticado com uma doença “incurável”. Os médicos lhe disseram que ele tinha poucos meses de vida. Norman então decidiu se curar. Durante três meses, tudo o que fez foi assistir a filmes de comédia e rir, rir e rir. A doença desapareceu do seu corpo nesses três meses, e os médicos disseram que sua recuperação tinha sido um milagre.	Rir é o melhor remédio - tem a ver com emoções	O Segredo	Byrne, Rhonda
Se nossos corpos são totalmente substituídos em poucos anos, conforme comprovado cientificamente, então como a degeneração e a doença podem permanecer neles por anos a fio? Elas só podem ser mantidas ali por meio dos nossos pensamentos, da nossa concentração na doença e da atenção que damos a ela.	Somos nós com nossos pensamentos que mantemos as doenças em nosso corpo.	O Segredo	Byrne, Rhonda
Eu expulsei toda a rigidez e falta de agilidade do meu corpo. Concentrei-me em visualizar meu corpo como sendo tão flexível e perfeito quanto o de uma criança, e toda rigidez e dores nas juntas que eu sentia desapareceram. Fiz isso literalmente do dia para a noite.	Eu sou uma pessoa atlética, com muita vontade de me exercitar diariamente e com grandes aptidões físicas	O Segredo	Byrne, Rhonda
“Não nos esqueçamos, nem por um instante, de que qualquer pensamento ruim significa literalmente colocar algo nocivo em nosso corpo.”	O segredo para suportar grandes desafios é nunca deixar algo de negativo permanecer em sua mente.	O Segredo	Byrne, Rhonda
"“Estamos entrando na era da medicina energética. Tudo no Universo possui uma frequência, e tudo o que você precisa fazer é mudar sua frequência atual ou criar uma frequência oposta. É simples assim mudar qualquer coisa no mundo; e isso se aplica a doenças, problemas emocionais ou o que quer que seja. Isto é fenomenal. É a descoberta mais importante que já fizemos.”"	Seus pensamentos emitem frequências, e essas frequências te sintonizam com frequências semelhantes. Se pensa grande, atrairá outras pessoas que pensam grande.	O Segredo	Byrne, Rhonda
Você não pode ajudar o mundo concentrando-se nas coisas negativas.	Seus pensamentos se tornam realidade, nunca fale nada negativo sobre si ou outros.	O Segredo	Byrne, Rhonda
Quando dizemos que temos escassez, é porque não expandimos nossos horizontes para ver tudo o que existe à nossa volta.	Sobre crenças limitantes, achar que para o outro ser bem sucedido, ele tem que tirar de você ou da sociedade. O universo é abundante em recursos.	O Segredo	Byrne, Rhonda
Deixe-me ajudá-lo a entender o que isso significa para você. Significa que toda e qualquer possibilidade já existe. Todo o conhecimento, todas as descobertas e todas as invenções do futuro existem na Mente Universal como possibilidades, aguardando para serem evocados pela mente humana. Toda e qualquer criação e invenção da História também foi retirada da Mente Universal, quer a pessoa responsável por ela estivesse consciente disso ou não.	Se você pensou em alguma ideia, ela já existe no universo, esperando apenas você executá-la. Precisa apenas querer.	O Segredo	Byrne, Rhonda
Como você pode ter acesso à Mente Universal? Estando consciente da sua existência, e usando sua extraordinária imaginação. Olhe ao seu redor e procure por necessidades que precisam ser supridas. Imagine como seria se tivéssemos uma grande invenção para fazer isto ou aquilo. Procure por essas necessidades, e então use sua imaginação e seus pensamentos para manifestar o que seria necessário para supri-las. Você não precisa saber como irá fazer a descoberta ou desenvolver a invenção. A Mente Suprema já carrega essa possibilidade. Tudo o que precisa fazer é concentrar sua mente no resultado final e imaginar que a necessidade será suprida, e você a evocará para a existência.	O Universo é abundante, há lugar para todos gerarem valor.	O Segredo	Byrne, Rhonda
Somos todos UM, de modo que quando você compete está competindo contra Você mesmo. Afaste a ideia de competição da sua mente e torne-se uma mente criativa. Concentre-se nos seus sonhos, nos seus planos, e risque a competição dos seus cálculos.	O universo é abundante, há prosperidade, riqueza e felicidade para todos que as queiram.	O Segredo	Byrne, Rhonda
Você deve estar pensando: “Bom, me parece ótimo, mas não posso fazer isso.” Ou: “Ela não vai me deixar fazer isso!” Ou: “Ele nunca vai me deixar fazer isso.” Ou: “Não tenho dinheiro para isso.” Ou: “Não sou forte o suficiente para isso.” Ou: “Não sou rico o bastante para isso.” Ou: “Não sou isso, não sou aquilo.” Cada “não sou” desses é uma criação!	Sempre fale positivamente de você.	O Segredo	Byrne, Rhonda
